n,x,y,z
1020
1068
1118
1164
1167
1194
1239
1293
1302
1326
1356
1446
1482
1572
1668
1689
1748
1758
1761
1762
1803
1902
1914
2067
2131
2139
2220
2238
2284
2292
2298
2334
2370
2418
2427
2460
2518
2550
2559
2580
2676
2694
2734
2778
2793
2802
2838
2847
2874
2886
2958
2964
2986
3012
3022
3027
3062
3066
3084
3103
3126
3162
3211
3237
3252
3309
3342
3354
3363
3390
3426
3454
3468
3495
3558
3612
3630
3666
3692
3741
3796
3810
3822
3831
3855
3867
3909
3918
3930
3954
3981
4002
4020
4170
4182
4196
4233
4254
4260
4281
4323
4398
4476
4524
4533
4611
4638
4650
4659
4755
4758
4767
4812
4854
4917
4947
4953
4956
4980
5001
5002
5050
5106
5114
5133
5142
5178
5190
5226
5241
5258
5262
5289
5317
5379
5430
5469
5505
5523
5532
5541
5583
5595
5637
5646
5658
5667
5682
5694
5700
5748
5763
5772
5865
5889
5898
5934
5955
5973
5974
5991
6009
6015
6036
6051
6081
6087
6108
6113
6132
6135
6177
6207
6234
6249
6261
6276
6297
6303
6387
6396
6405
6420
6438
6450
6474
6510
6519
6522
6540
6555
6582
6604
6617
6627
6702
6738
6771
6780
6783
6825
6834
6897
6906
6918
6919
6933
6942
6951
6972
7005
7017
7023
7026
7050
7089
7098
7143
7158
7179
7185
7221
7233
7242
7284
7413
7446
7458
7494
7499
7521
7527
7548
7590
7635
7647
7662
7674
7698
7716
7737
7761
7809
7836
7878
7950
7962
7985
7989
8012
8034
8058
8097
8157
8214
8286
8298
8318
8382
8403
8412
8445
8466
8489
8502
8508
8556
8571
8580
8598
8634
8643
8661
8706
8710
8790
8844
8871
8876
8877
8894
8925
8934
9030
9033
9102
9105
9111
9165
9174
9186
9210
9285
9291
9294
9321
9354
9411
9412
9420
9462
9510
9516
9546
9588
9591
9609
9618
9636
9642
9669
9741
9795
9844
9847
9852
9858
9867
9870
9879
9893
9894
9903
9930
9957
